#TYPE System.Management.Automation.PSCustomObject
"Low","High","LBin","HBin","LDec","HDec"
"85.95.224.0","85.95.244.255","01010101010111111110000000000000","01010101010111111111010011111111","1432346624","1432351999"
"85.95.246.0","85.95.252.255","01010101010111111111011000000000","01010101010111111111110011111111","1432352256","1432354047"
"85.96.0.0","85.111.255.255","01010101011000000000000000000000","01010101011011111111111111111111","1432354816","1433403391"
"85.112.30.0","85.112.30.255","01010101011100000001111000000000","01010101011100000001111011111111","1433411072","1433411327"
"85.112.31.16","85.112.31.95","01010101011100000001111100010000","01010101011100000001111101011111","1433411344","1433411423"
"85.112.31.112","85.112.31.127","01010101011100000001111101110000","01010101011100000001111101111111","1433411440","1433411455"
"85.112.31.224","85.112.31.239","01010101011100000001111111100000","01010101011100000001111111101111","1433411552","1433411567"
"85.115.32.0","85.115.32.255","01010101011100110010000000000000","01010101011100110010000011111111","1433608192","1433608447"
"85.115.204.0","85.115.204.255","01010101011100111100110000000000","01010101011100111100110011111111","1433652224","1433652479"
"85.117.236.0","85.117.239.255","01010101011101011110110000000000","01010101011101011110111111111111","1433791488","1433792511"
"85.119.32.0","85.119.39.255","01010101011101110010000000000000","01010101011101110010011111111111","1433870336","1433872383"
"85.119.64.0","85.119.71.255","01010101011101110100000000000000","01010101011101110100011111111111","1433878528","1433880575"
"85.153.0.0","85.153.63.254","01010101100110010000000000000000","01010101100110010011111111111110","1436090368","1436106750"
"85.153.64.0","85.153.255.255","01010101100110010100000000000000","01010101100110011111111111111111","1436106752","1436155903"
"85.158.96.0","85.158.103.255","01010101100111100110000000000000","01010101100111100110011111111111","1436442624","1436444671"
"85.159.64.0","85.159.79.255","01010101100111110100000000000000","01010101100111110100111111111111","1436499968","1436504063"
"85.235.72.0","85.235.75.255","01010101111010110100100000000000","01010101111010110100101111111111","1441482752","1441483775"
"85.235.84.0","85.235.87.255","01010101111010110101010000000000","01010101111010110101011111111111","1441485824","1441486847"
"86.104.14.0","86.104.14.255","01010110011010000000111000000000","01010110011010000000111011111111","1449659904","1449660159"
"86.108.128.0","86.108.255.255","01010110011011001000000000000000","01010110011011001111111111111111","1449951232","1449983999"
"87.251.0.0","87.251.31.255","01010111111110110000000000000000","01010111111110110001111111111111","1476067328","1476075519"
"88.202.107.96","88.202.107.111","01011000110010100110101101100000","01011000110010100110101101101111","1489660768","1489660783"
"88.202.111.96","88.202.111.111","01011000110010100110111101100000","01011000110010100110111101101111","1489661792","1489661807"
"88.214.40.0","88.214.43.255","01011000110101100010100000000000","01011000110101100010101111111111","1490429952","1490430975"
"88.218.128.0","88.218.131.255","01011000110110101000000000000000","01011000110110101000001111111111","1490714624","1490715647"
"88.224.0.0","88.255.255.255","01011000111000000000000000000000","01011000111111111111111111111111","1491075072","1493172223"
"89.19.0.0","89.19.31.255","01011001000100110000000000000000","01011001000100110001111111111111","1494417408","1494425599"
"89.30.61.0","89.30.61.255","01011001000111100011110100000000","01011001000111100011110111111111","1495153920","1495154175"
"89.35.52.0","89.35.52.255","01011001001000110011010000000000","01011001001000110011010011111111","1495479296","1495479551"
"89.43.28.0","89.43.31.255","01011001001010110001110000000000","01011001001010110001111111111111","1495997440","1495998463"
"89.43.64.0","89.43.67.255","01011001001010110100000000000000","01011001001010110100001111111111","1496006656","1496007679"
"89.43.78.0","89.43.78.255","01011001001010110100111000000000","01011001001010110100111011111111","1496010240","1496010495"
"89.45.94.0","89.45.94.255","01011001001011010101111000000000","01011001001011010101111011111111","1496145408","1496145663"
"89.106.0.0","89.106.31.255","01011001011010100000000000000000","01011001011010100001111111111111","1500119040","1500127231"
"89.107.224.0","89.107.231.255","01011001011010111110000000000000","01011001011010111110011111111111","1500241920","1500243967"
"89.145.184.0","89.145.191.255","01011001100100011011100000000000","01011001100100011011111111111111","1502722048","1502724095"
"89.149.132.212","89.149.132.213","01011001100101011000010011010100","01011001100101011000010011010101","1502971092","1502971093"
"89.149.132.216","89.149.132.217","01011001100101011000010011011000","01011001100101011000010011011001","1502971096","1502971097"
"89.149.132.220","89.149.132.221","01011001100101011000010011011100","01011001100101011000010011011101","1502971100","1502971101"
"89.149.132.224","89.149.132.225","01011001100101011000010011100000","01011001100101011000010011100001","1502971104","1502971105"
"89.149.137.230","89.149.137.231","01011001100101011000100111100110","01011001100101011000100111100111","1502972390","1502972391"
"89.149.137.238","89.149.137.239","01011001100101011000100111101110","01011001100101011000100111101111","1502972398","1502972399"
"89.200.216.0","89.200.219.255","01011001110010001101100000000000","01011001110010001101101111111111","1506334720","1506335743"
"89.207.12.0","89.207.15.255","01011001110011110000110000000000","01011001110011110000111111111111","1506741248","1506742271"
"89.252.128.0","89.252.191.255","01011001111111001000000000000000","01011001111111001011111111111111","1509720064","1509736447"
"90.158.0.0","90.159.255.255","01011010100111100000000000000000","01011010100111111111111111111111","1520304128","1520435199"
"91.93.0.0","91.93.255.255","01011011010111010000000000000000","01011011010111011111111111111111","1532821504","1532887039"
"91.102.160.0","91.102.167.255","01011011011001101010000000000000","01011011011001101010011111111111","1533452288","1533454335"
